x,y,v
9.107298248878237e-18,0.0,1.2
-2.943467084359905e-06,0.010899039822481953,1.1946759516780117
-1.3080515410910174e-05,0.021796495757978845,1.1870591186218802
-3.23711155898163e-05,0.03269078391950539,1.1824657236508058
-6.277523823124813e-05,0.04358032042007661,1.177847410194848
-0.00010625285394537722,0.054463521372707234,1.1731981862748893
-0.00016476393334237253,0.06533880289041225,1.1685120230184924
-0.00024026844703240824,0.07620458108620645,1.1637828449654768
-0.00033472636562565294,0.0870592720731048,1.1590045206263795
-0.00045009765973228144,0.09790129196412203,1.1541708533279644
-0.0005883422999624614,0.10872905687227319,1.1492755723862618
-0.0007514202569263675,0.11954098291057304,1.1443123246549325
-0.0009412915012341686,0.13033548619203641,1.139274666505049
-0.0011599160034960357,0.14111098282967827,1.134156056301894
-0.0014092537343221414,0.15186588893651343,1.1289498474550956
-0.0016912646643226555,0.16259862062555677,1.1236492821304145
-0.002007908764107752,0.17330759400982323,1.1182474857250702
-0.0023611460042876004,0.1839912252023275,1.1127374622235187
-0.00275293635547237,0.19464793031608452,1.1071120905673608
-0.003185239788272236,0.2052761254641093,1.1013641221917023
-0.003660016273297368,0.21587422675941667,1.0954861799007858
-0.004179225781157935,0.2264406503150213,1.089470758278264
-0.004744828282464112,0.23697381224393832,1.0833102258522913
-0.005358783747826069,0.24747212865918247,1.0769968292627106
-0.006023052147853974,0.25793401567376856,1.070522699706803
-0.006739593453158002,0.26835788940071154,1.0638798619718046
-0.007510367634348328,0.2787421659530264,1.057060246396558
-0.008337334662035114,0.2890852614437278,1.0500557041408012
-0.009222454506828535,0.2993855919858307,1.0428580261788603
-0.010167687139338768,0.30964157369235007,1.035458966474952
-0.011174992530175974,0.31985162267630046,1.027850269838631
-0.012246330649950331,0.3300141550506971,1.0200237050012544
-0.013383661469272013,0.34012758692855466,1.0119711034971601
-0.014588944958751186,0.3501903344228882,1.003684404974531
-0.015864141088998022,0.3602008136467123,0.9951557096004521
-0.01721120983062269,0.37015744071304196,0.9863773382601405
-0.018632111154235357,0.3800586317348921,0.9773419012808002
-0.020128805030446215,0.3899028028252776,0.9680423764318109
-0.02170325142986542,0.3996883700972135,0.958472196963797
-0.023357410323103144,0.40941374966371424,0.9486253504461619
-0.025093241680769554,0.41907735763779497,0.9384964891396913
-0.02691270547347483,0.42867761013247047,0.9280810525966379
-0.028817761671829128,0.4382129232607556,0.9173754031070795
-0.030810370246442648,0.4476817131356654,0.9063769745027044
-0.03289249116792554,0.4570823958702146,0.8950844346816127
-0.03506608440688798,0.46641338757741807,0.8834978620219123
-0.03733310993394014,0.4756731043702907,0.8716189356019631
-0.03969552771969219,0.48485996236184736,0.8594511388329653
-0.04215529773475427,0.4939723776651028,0.8469999757283478
-0.04471437994973662,0.5030087663930722,0.834273198577997
-0.04737473433524936,0.5119675446587703,0.821281045258794
-0.05013832086190268,0.5208471285752118,0.808036483792266
-0.05300709950030676,0.5296459342554116,0.7945554610567996
-0.05598303022107174,0.5383623778123846,0.7808571517783299
-0.05906807299480781,0.546994875359146,0.7669642030696555
-0.06226418779212513,0.5555418430087101,0.7529029688771158
-0.06557333458363389,0.5640016968740922,0.7387037277475467
-0.06899747333994427,0.5723728530683071,0.7244008763848672
-0.0725385640316664,0.5806537277043695,0.7100330905513739
-0.07619856662941049,0.5888427368952944,0.6956434440446266
-0.07997944110378669,0.5969382967540966,0.6812794758061905
-0.08388314742540516,0.604938823393791,0.666993194753439
-0.08791164556487611,0.6128427329273926,0.6528410117545089
-0.09206689549280969,0.6206484414679161,0.6388835883644648
-0.09635085717981609,0.6283543651283764,0.6251855925874229
-0.10076549059650544,0.6359589200217883,0.6118153530977881
-0.10531275571348794,0.643460522261167,0.5988444051058637
-0.10999461250137375,0.650857587959527,0.5863469234207696
-0.11481302093077309,0.6581485332298833,0.5743990412602513
-0.11976994097229601,0.6653317741852507,0.5630780569565098
-0.1248673325965528,0.6724057269386442,0.5524615348228441
-0.13010715577415352,0.6793688076030785,0.5426263109636258
-0.13549137047570847,0.6862194322915688,0.5336474195509092
-0.1410219366718278,0.6929560171171297,0.5255969598275176
-0.14670081433312163,0.699576978192776,0.5185429285645474
-0.15252996343020012,0.7060807316315227,0.5125480466173818
-0.15851134393367353,0.7124656935463849,0.5076686112846772
-0.1646469158141519,0.7187302800503772,0.5039534080959092
-0.1709386390422455,0.7248729072565144,0.501442716210201
-0.17738847358856444,0.7308919912778113,0.5001674406196113
-0.1839983794237189,0.736785948227283,0.5001484017407096
-0.19077031651831916,0.7425531942179446,0.5016170702375033
-0.19770624484297528,0.7481921453628106,0.5071881360077835
-0.20480782337580078,0.7537012987605313,0.5200458835213466
-0.21207330898531165,0.7590800668880836,0.5382407198531991
-0.21949880879611092,0.7643284406367861,0.5575100862705592
-0.2270803960793326,0.7694464200066389,0.5762849038978746
-0.23481414410611073,0.7744340049976417,0.5945052886226417
-0.24269612614757943,0.7792911956097951,0.6121425477912772
-0.25072241547487256,0.7840179918430986,0.6291753877186459
-0.25888908535912414,0.7886143936975523,0.6455890241883424
-0.2671922090714684,0.7930804011731563,0.6613743409605902
-0.2756278598830393,0.7974160142699105,0.6765271048966865
-0.2841921110649707,0.8016212329878151,0.691047242803536
-0.29288103588839687,0.8056960573268699,0.7049381822935407
-0.3016907076244515,0.8096404872870747,0.7182062567569085
-0.31061719954426875,0.8134545228684298,0.7308601728913174
-0.3196565849189829,0.8171381640709353,0.7429105380389465
-0.3288049370197278,0.820691410894591,0.754369443757342
-0.33805832911763756,0.8241142633393972,0.7652501015450213
